Ke_SSE,Jm_SSE,Bm_SSE,Eff_SSE,Ke_Abs,Jm_Abs,Bm_Abs,Eff_Abs,Ke_RMSE,Jm_RMSE,Bm_RMSE,Eff_RMSE,Ke_NMSE,Jm_NMSE,Bm_NMSE,Eff_NMSE
0.0743738103657131,0.000137081975206104,4.023186063249e-05,0.982684480720505,0.0740475811248022,1.17270118145825e-06,1.00272621473849e-09,0.0116456439363269,0.0510743694482081,6.66440552876269e-05,0.000351007031862327,0.699401298725751,0.0625690857691816,0.000106654023438801,0.000299354701927042,0.911298274638545
0.0742608101935469,7.48001647293045e-05,8.07171960172107e-05,0.986105202228126,0.0738024685172865,7.79428050439772e-05,1.77571410006063e-05,0.976220172974905,0.0744265069455102,5.03399690368932e-05,5.10685728567351e-05,0.662137368392397,0.0583986570462913,3.61671542469905e-05,0.000264407511664487,0.61043657666229
0.0756528456579017,8.13046219040401e-05,6.00130003382099e-08,0.982546759184591,0.0680991080992239,6.76905423255362e-05,0.000142561656010712,0.989893639435348,0.055937818049381,4.32718267829974e-05,0.000312992572224885,0.712876117514056,0.0562724943162558,4.43542623264407e-05,0.000315338467761309,0.726297069411033
0.0741284833801053,8.73624314799017e-05,8.58995221059834e-09,0.968742733959964,0.0712915188495915,7.07798553078805e-05,1.22450247732577e-06,0.972471513099019,0.0556421078118598,4.50059649673186e-05,0.000274010280382062,0.669353982801904,0.0290376558255742,2.06816550843953e-05,0.000310211089442255,0.59516137148897
0.0153160828137558,9.73990301925921e-06,0.000181293822619098,0.489137755448248,0.0747530366963465,6.72513001818661e-05,9.03395602052849e-06,0.987710972739554,0.0749304616380146,6.21867207865864e-05,2.18836351360999e-05,0.625713848501018,0.0720606290564372,9.26809014255597e-05,0.000112547262928744,0.970580812639872
0.0739073487469593,7.53221623790844e-05,5.27661388023478e-05,0.941606062471643,0.0732693609452375,1.78408752769138e-05,2.68644367411698e-06,0.247988660187134,0.0585894504095778,4.54658903045152e-05,0.000289824579264311,0.721468900126787,0.0569235665996048,4.41914923056457e-05,0.000309104626024357,0.722132375249731
0.0469285113894605,2.41491395690356e-05,1.00121590471654e-09,0.96307321206001,0.0469046789628316,1.96547528029465e-05,5.1128985634725e-07,0.855268942944288,0.0463778893603269,2.32093220086976e-05,9.52801437883586e-06,0.937097530550902,0.0392363188841564,1.48683198082335e-05,8.57266016779397e-05,0.713457149724638
0.0417721674376761,1.30973148673946e-05,6.01544728226493e-05,0.651381830037014,0.0472760543164383,1.06097599273808e-05,3.43546146518906e-07,0.46601129706265,0.0452085027968755,2.01315539247565e-05,3.51435320002701e-05,0.922425295046619,0.0391840439258581,1.3398979090519e-05,9.03965666260464e-05,0.71177026342675
0.0629449061671908,4.19980535470296e-05,1.18780335069369e-09,0.936919920591812,0.0577264370899997,3.27800927839593e-05,9.83019742488728e-05,0.837534516038988,0.0629191213127426,2.87783568737209e-05,4.15686054493215e-07,0.642312068522979,0.0506282911469831,2.30193282220157e-05,0.000159665702380258,0.643163573240742
0.0626055841414205,3.73567721673215e-05,1.02157470981839e-09,0.834188118513376,0.0570632500767981,2.69266997472222e-05,8.61078275424598e-05,0.686783414027274,0.0626027825404956,2.97705401766798e-05,4.8988960890164e-08,0.664711452176292,0.0585363612092568,2.57056147644538e-05,5.83614020823654e-05,0.615416866267192
0.0524038357799286,3.4839046600179e-05,0.000208630914116419,0.98962119497546,0.0625691038118154,3.12788914299821e-05,3.24219619745031e-07,0.989008787705397,0.0622729863105244,2.43835999826173e-05,3.38860270132491e-06,0.579148059218702,0.0488754299361403,2.2622661590306e-05,0.000183234811174286,0.690721414461038
0.0681520560510735,7.9727708699049e-05,1.02056544497081e-09,0.965488823028119,0.0675689458910037,6.06462622040742e-05,1.98097466898812e-05,0.978896043780357,0.068098409555975,5.23619095752072e-05,9.23789032806573e-07,0.634586688741092,0.0512202591049717,4.35041989632748e-05,0.000243445600658416,0.7050949018549
0.0323067555702584,0.00110782834915342,1.14439250243265e-05,0.470947516076604,0.0441828753797292,0.00127812632186375,1.80344213498426e-07,0.505019960189585,0.0279704051713401,0.00131102982787496,4.46406552376074e-05,0.643770918301973,0.0253088592755272,0.00131811962019555,6.41427188871568e-05,0.715447674691563
